id,product_id,sale_id,quantity
1,389,1,25
2,364,1,30
3,210,1,8
4,303,1,11
5,297,1,21
6,283,1,41
7,212,1,17
8,14,1,16
9,221,2,17
10,497,2,36
11,307,2,30
12,379,2,8
13,308,2,1
14,196,2,30
15,114,2,6
16,160,2,13
17,401,2,2
18,78,3,25
19,293,3,39
20,106,3,14
21,253,3,45
22,52,3,6
23,373,4,14
24,145,4,10
25,3,4,37
26,189,4,2
27,194,4,20
28,397,4,50
29,74,4,35
30,168,4,28
31,266,4,25
32,290,4,49
33,359,4,23
34,34,4,9
35,475,4,3
36,413,4,44
37,10,4,8
38,123,5,24
39,245,5,28
40,173,5,44
41,81,5,46
42,268,5,49
43,204,5,49
44,171,5,22
45,214,5,7
46,163,6,7
47,337,6,43
48,210,7,12
49,191,7,27
50,58,7,4
51,245,7,33
52,22,7,23
53,337,7,33
54,89,8,47
55,82,8,47
56,32,8,24
57,341,8,17
58,6,8,29
59,251,8,35
60,298,8,2
61,281,8,12
62,175,9,43
63,74,10,14
64,48,10,31
65,245,10,19
66,332,11,47
67,426,11,45
68,393,11,37
69,97,11,1
70,437,11,18
71,271,11,31
72,52,11,20
73,197,11,13
74,493,12,25
75,198,12,3
76,352,12,49
77,316,12,26
78,100,12,27
79,101,12,11
80,303,13,16
81,314,14,18
82,8,14,38
83,472,14,1
84,146,14,33
85,250,14,32
86,221,14,38
87,244,14,45
88,77,14,4
89,410,15,30
90,170,15,45
91,302,15,42
92,393,15,15
93,89,15,5
94,29,16,17
95,485,16,27
96,290,16,47
97,239,16,6
98,203,16,3
99,347,16,2
100,292,16,41
101,168,16,15
102,182,17,2
103,395,17,37
104,162,17,49
105,137,17,40
106,428,17,12
107,351,17,30
108,99,18,10
109,141,18,14
110,439,18,45
111,218,18,3
112,264,18,7
113,409,19,7
114,474,19,19
115,448,19,22
116,136,19,50
117,142,19,24
118,397,19,27
119,429,19,22
120,358,19,32
121,328,19,26
122,330,19,38
123,25,19,20
124,209,19,26
125,272,19,8
126,455,19,14
127,88,19,20
128,247,20,3
129,396,20,40
130,404,21,45
131,258,21,43
132,269,21,41
133,439,21,23
134,423,21,50
135,66,21,21
136,331,22,32
137,359,22,45
138,183,22,29
139,458,22,48
140,79,22,36
141,344,22,39
142,367,22,28
143,80,22,40
144,220,22,23
145,59,22,15
146,337,22,35
147,348,22,4
148,475,22,31
149,126,23,32
150,239,23,6
151,254,23,4
152,253,23,20
153,1,23,45
154,442,23,2
155,380,24,9
156,368,24,5
157,252,24,3
158,90,24,12
159,219,24,46
160,1,24,4
161,196,24,23
162,120,24,15
163,419,24,37
164,91,24,10
165,379,24,29
166,197,24,18
167,18,24,32
168,360,24,6
169,96,24,24
170,115,25,12
171,181,25,42
172,151,25,8
173,272,25,37
174,343,25,45
175,149,25,21
176,313,25,10
177,6,25,19
178,133,25,9
179,378,25,48
180,379,25,25
181,124,25,34
182,328,25,7
183,9,25,4
184,253,25,40
185,387,26,35
186,148,27,19
187,121,27,47
188,460,27,41
189,429,28,21
190,380,28,27
191,431,28,49
192,219,28,28
193,215,28,13
194,346,28,4
195,40,28,22
196,57,28,30
197,70,28,8
198,213,29,3
199,335,29,13
200,113,29,3
201,106,29,27
202,471,29,30
203,144,29,40
204,311,29,26
205,339,29,10
206,370,29,27
207,45,30,38
208,29,30,22
209,130,30,1
210,300,30,1
211,123,30,11
212,424,30,44
213,158,31,25
214,267,31,22
215,178,31,20
216,369,32,1
217,79,32,35
218,142,32,11
219,256,33,2
220,407,33,15
221,243,33,13
222,177,34,48
223,54,34,34
224,160,34,49
225,425,34,16
226,460,34,7
227,246,34,18
228,433,34,38
229,460,34,30
230,315,35,34
231,481,35,30
232,392,35,14
233,12,36,8
234,304,36,23
235,493,36,38
236,109,36,4
237,52,36,47
238,316,36,41
239,209,36,24
240,313,36,14
241,167,36,11
242,265,36,3
243,22,36,34
244,37,36,41
245,345,36,39
246,250,37,35
247,186,37,29
248,159,37,3
249,53,37,25
250,374,37,14
251,322,38,36
252,220,38,39
253,407,38,12
254,11,38,1
255,331,38,7
256,68,38,34
257,349,38,1
258,214,38,2
259,434,38,7
260,93,39,44
261,380,39,14
262,177,39,9
263,204,39,6
264,494,39,39
265,82,39,27
266,193,39,3
267,384,39,47
268,72,39,42
269,485,39,6
270,124,39,12
271,133,39,16
272,72,39,36
273,397,39,11
274,275,39,29
275,310,40,23
276,442,40,43
277,379,40,10
278,441,40,43
279,173,40,9
280,483,40,31
281,478,40,41
282,289,40,22
283,440,40,38
284,4,40,9
285,127,40,10
286,380,40,26
287,421,40,25
288,405,41,46
289,355,41,8
290,414,41,50
291,46,42,22
292,415,42,33
293,85,42,42
294,141,42,47
295,132,42,25
296,43,42,17
297,236,42,26
298,429,42,23
299,319,42,11
300,44,42,9
301,3,42,35
302,448,42,17
303,36,42,5
304,107,42,3
305,306,42,21
306,373,43,37
307,347,43,37
308,281,43,33
309,208,44,30
310,456,44,18
311,292,44,42
312,2,44,11
313,243,44,9
314,139,44,10
315,124,44,39
316,153,44,10
317,292,44,23
318,350,44,47
319,205,44,31
320,481,44,7
321,360,44,13
322,384,45,45
323,230,45,41
324,121,45,46
325,95,46,30
326,341,46,24
327,208,47,23
328,393,47,32
329,325,47,6
330,136,48,50
331,123,48,34
332,428,48,25
333,241,48,21
334,139,48,45
335,219,49,40
336,368,49,25
337,307,49,12
338,239,50,31
339,240,50,42
340,401,50,11
341,286,50,4
342,148,50,45
343,474,50,37
344,497,51,50
345,26,51,11
346,24,51,30
347,388,51,15
348,390,51,11
349,13,51,39
350,471,52,11
351,235,52,40
352,249,52,41
353,476,52,34
354,157,52,12
355,132,53,26
356,191,53,50
357,112,53,4
358,139,53,1
359,212,53,5
360,216,53,32
361,111,54,13
362,206,54,1
363,45,54,45
364,50,54,23
365,139,54,42
366,190,54,35
367,456,54,30
368,68,54,18
369,318,55,1
370,402,55,4
371,73,55,37
372,466,55,44
373,113,55,43
374,445,55,48
375,123,55,31
376,149,55,46
377,436,55,26
378,475,55,23
379,207,55,49
380,473,55,34
381,217,55,19
382,341,56,30
383,153,56,5
384,380,56,46
385,197,56,31
386,402,56,37
387,43,57,38
388,231,57,32
389,437,57,13
390,177,57,45
391,459,57,47
392,221,57,9
393,466,57,15
394,369,57,10
395,152,57,32
396,330,57,42
397,384,57,22
398,487,57,10
399,262,57,43
400,27,58,50
401,224,58,26
402,491,58,30
403,261,58,31
404,86,58,8
405,451,58,13
406,402,58,16
407,86,58,39
408,172,58,44
409,461,59,16
410,200,59,17
411,116,59,31
412,238,60,26
413,95,60,27
414,217,60,6
415,298,60,39
416,144,60,22
417,248,60,45
418,133,61,18
419,390,61,43
420,486,61,5
421,302,61,15
422,320,61,18
423,374,61,40
424,470,61,35
425,315,61,47
426,123,61,36
427,51,62,8
428,224,62,10
429,303,62,37
430,33,62,48
431,140,62,30
432,80,62,31
433,227,63,18
434,304,63,45
435,461,63,26
436,293,63,5
437,242,63,20
438,187,63,15
439,202,63,7
440,471,63,33
441,431,63,4
442,194,64,45
443,209,64,25
444,361,64,26
445,277,64,18
446,56,64,17
447,191,64,26
448,63,65,25
449,468,65,49
450,25,65,25
451,7,66,12
452,208,66,34
453,441,66,28
454,20,66,44
455,103,66,49
456,262,66,5
457,44,67,38
458,249,68,30
459,275,68,47
460,294,68,49
461,49,68,9
462,51,68,11
463,163,68,40
464,27,68,10
465,247,68,22
466,352,69,21
467,244,69,32
468,15,69,47
469,408,69,20
470,205,69,3
471,100,69,12
472,278,70,37
473,411,70,33
474,156,70,16
475,315,71,31
476,250,71,23
477,62,71,16
478,473,71,21
479,408,71,21
480,259,71,48
481,484,71,28
482,128,71,8
483,163,71,26
484,368,72,21
485,148,72,12
486,411,72,23
487,266,72,48
488,249,72,3
489,358,72,18
490,67,72,16
491,130,72,10
492,212,72,48
493,260,72,27
494,179,72,25
495,61,72,16
496,30,72,21
497,292,73,38
498,182,73,34
499,434,73,34
500,453,73,25
501,56,73,42
502,67,73,50
503,412,73,39
504,401,73,20
505,362,73,1
506,119,73,21
507,165,73,7
508,59,73,7
509,296,73,8
510,70,74,12
511,464,74,38
512,34,74,43
513,459,74,28
514,196,74,9
515,262,74,35
516,44,74,43
517,445,74,43
518,364,74,44
519,239,74,24
520,217,74,24
521,174,74,13
522,115,74,17
523,328,74,20
524,376,74,6
525,40,75,19
526,149,75,2
527,437,75,44
528,196,75,24
529,281,75,14
530,205,75,45
531,90,75,32
532,121,75,7
533,196,76,9
534,397,76,29
535,461,77,42
536,349,77,45
537,93,77,38
538,168,77,8
539,27,77,32
540,226,77,39
541,487,77,22
542,159,77,3
543,166,78,1
544,460,78,23
545,147,78,6
546,342,78,12
547,77,78,19
548,280,79,34
549,489,80,37
550,347,81,48
551,52,81,44
552,127,81,13
553,313,81,18
554,333,81,17
555,140,81,13
556,130,81,39
557,277,81,5
558,255,81,4
559,449,81,3
560,439,81,33
561,30,81,5
562,320,81,24
563,175,82,46
564,418,82,23
565,391,82,6
566,230,82,34
567,227,82,27
568,110,82,14
569,41,82,28
570,496,82,37
571,327,83,47
572,159,83,25
573,90,83,3
574,28,83,5
575,226,83,19
576,156,83,7
577,98,83,14
578,81,83,48
579,390,83,2
580,309,84,27
581,450,84,17
582,287,85,25
583,93,85,35
584,293,85,5
585,287,85,9
586,116,85,35
587,311,85,46
588,403,86,30
589,342,86,46
590,108,86,21
591,171,86,47
592,248,86,42
593,111,86,42
594,256,86,41
595,442,86,11
596,279,86,34
597,92,86,18
598,84,86,17
599,423,86,42
600,36,86,49
601,488,87,41
602,176,87,47
603,472,87,8
604,238,88,43
605,396,88,21
606,32,88,5
607,32,88,14
608,287,88,5
609,1,89,6
610,4,89,29
611,169,89,24
612,489,89,48
613,173,89,33
614,23,89,50
615,129,90,33
616,125,90,50
617,474,90,2
618,418,90,10
619,262,90,7
620,88,90,10
621,349,91,38
622,255,91,7
623,75,91,14
624,274,91,8
625,241,91,3
626,304,91,31
627,178,92,24
628,74,92,1
629,168,93,13
630,193,93,30
631,447,93,9
632,272,93,13
633,211,93,36
634,215,93,33
635,351,93,42
636,359,93,38
637,416,93,41
638,445,93,24
639,327,93,33
640,211,93,44
641,71,93,14
642,471,93,23
643,156,93,40
644,21,94,7
645,365,94,22
646,469,94,43
647,465,94,48
648,318,94,38
649,270,94,29
650,388,94,13
651,276,94,1
652,53,94,3
653,398,95,33
654,270,95,35
655,177,95,34
656,317,96,5
657,133,96,32
658,380,96,34
659,140,96,19
660,160,96,25
661,339,96,34
662,70,96,49
663,277,96,30
664,449,96,27
665,80,96,24
666,441,96,27
667,223,96,14
668,136,96,10
669,457,97,42
670,218,97,16
671,47,97,13
672,455,97,4
673,75,97,21
674,367,98,24
675,39,98,20
676,132,98,4
677,352,99,7
678,279,99,11
679,173,99,30
680,77,99,16
681,396,99,33
682,463,100,8
683,223,100,39
684,155,100,33
685,54,100,8
686,343,100,11
687,484,101,2
688,135,101,11
689,260,101,3
690,435,101,21
691,218,101,2
692,339,101,32
693,83,101,8
694,27,101,14
695,398,101,34
696,338,101,22
697,33,101,11
698,293,101,26
699,411,101,3
700,104,102,31
701,379,102,12
702,49,102,47
703,242,103,50
704,280,103,47
705,78,103,43
706,28,103,20
707,56,103,16
708,366,103,33
709,390,103,20
710,126,103,47
711,172,104,43
712,145,104,11
713,312,104,15
714,116,104,50
715,377,104,28
716,352,104,45
717,312,104,47
718,241,104,36
719,290,104,1
720,286,104,13
721,95,104,20
722,256,104,45
723,331,104,26
724,329,104,48
725,57,104,37
726,317,105,25
727,478,105,15
728,307,105,39
729,113,105,34
730,23,105,9
731,125,105,32
732,315,105,20
733,461,105,7
734,141,105,5
735,340,105,17
736,70,105,30
737,294,105,13
738,224,105,23
739,198,105,28
740,166,105,50
741,187,106,33
742,19,106,15
743,412,106,22
744,89,106,36
745,335,106,8
746,180,106,22
747,384,106,49
748,32,106,39
749,34,107,11
750,212,107,11
